,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance
123,Declaraciones Prof. Pedro Troglio previo a primer juego del Pentagonal Vrs @cdsvida. 🎥🎙️ https://t.co/qNeo7nKHZ7,264,33,2019,196452,297,0.15
124,"¡Arranca la Pentagonal! 🎉🎉

🏟 Estadio Ceibeño
🗓️ 23/11/19
⏲ 7:15 pm
📺 Canal 11
🏆Liga SalvaVida

🇳🇱🇳🇱🇳🇱🇳🇱🇳🇱🇳🇱🇳🇱 https://t.co/romzoUU5Rk",280,43,2019,196452,323,0.16
125,🔴⚪🔵🥇 https://t.co/gJCjiNMx8I,169,14,2019,196452,183,0.09
126,"En este perfil tenemos el récord de puntos.

#SomosOlimpia 🇱🇺 https://t.co/bIUFzHxeGW",1071,172,2019,196452,1243,0.63
127,"¡Felicidades a todo el Olimpismo en cada rincón del mundo! 🎉🌍

¡El más Superlíder de la historia de los torneos cortos! 💪

Este es el Olimpia de Pedro Troglio... El Olimpia de los 44 puntos. 4️⃣4️⃣

🇱🇺🇱🇺🇱🇺🇱🇺🇱🇺🇱🇺🇱🇺🇱🇺🇱🇺🇱🇺 https://t.co/VBVdgIBAv4",1048,250,2019,196452,1298,0.66
128,"🕛¡Final del partido en el Ceibeño!

Vida 2 - 3 Olimpia 

Jonathan Ferrari (16)
Bryan Beckeles (20)
Jorge Bengúche (57)

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/0IZlSClyFJ",223,50,2019,196452,273,0.14
129,"⏰91”  Segundo gol del vida.

Vida 2 - 3 Olimpia

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida",31,2,2019,196452,33,0.02
130,"⏰75” Cambio en el Olimpia:

✔ Entra:    Jafeth Canales
❎Sale:   Elmer Güity

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/TL16aBQMvC",24,3,2019,196452,27,0.01
131,"⏰75”Gol del vida.

Vida 1 - 3 Olimpia",18,0,2019,196452,18,0.01
132,"⏰68” Cambio en el Olimpia:

✔ Entra:    A. Reyes
❎Sale:   J. Lacayo

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/OKtEKagePH",34,1,2019,196452,35,0.02
133,"⏰60” Cambio en el Olimpia:

✔ Entra:   7  O. Lanza
❎Sale:  9 J. Bengúche

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/K7aDlQbp5B",28,0,2019,196452,28,0.01
134,"Goooooooooooooooooool
Goooooooooooooooooool

Jorge Bengúche a los 57’ minutos 

Vida 0 - 3 Olimpia 

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/q1Qfr6thDU",147,14,2019,196452,161,0.08
